id,date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,code_info,latitude,longitude,line_name,month,time_range,month_number,hour,year,Index,Check
1,2019-01-01,3:03,Tuesday,DUPONT STATION,MUATC,11,16,N,YU,6061,ATC Project,43.674584,-79.40683,Yonge University Spadina,January,9PM-1:30AM,1,3,2019,43466DUPONT STATION11,#REF!
2,2019-01-01,3:08,Tuesday,EGLINTON WEST STATION,EUATC,11,16,S,YU,5656,ATC RC&S Equipment,43.699209,-79.435819,Yonge University Spadina,January,9PM-1:30AM,1,3,2019,43466EGLINTON WEST STATION11,#REF!
3,2019-01-01,3:09,Tuesday,DUPONT STATION,EUATC,6,11,N,YU,5381,ATC RC&S Equipment,43.674584,-79.40683,Yonge University Spadina,January,9PM-1:30AM,1,3,2019,43466DUPONT STATION6,#REF!
4,2019-01-01,3:26,Tuesday,ST CLAIR WEST STATION,EUATC,4,9,N,YU,5571,ATC RC&S Equipment,43.683888,-79.415113,Yonge University Spadina,January,9PM-1:30AM,1,3,2019,43466ST CLAIR WEST STATION4,#REF!
5,2019-01-01,8:04,Tuesday,DAVISVILLE STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related ,43.697778,-79.397222,Yonge University Spadina,January,5-9AM,1,8,2019,43466DAVISVILLE STATION5,#REF!
6,2019-01-01,8:07,Tuesday,KEELE STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,43.655556,-79.459722,Bloor Danforth,January,5-9AM,1,8,2019,43466KEELE STATION5,#REF!
7,2019-01-01,8:09,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,43.681111,-79.337778,Bloor Danforth,January,5-9AM,1,8,2019,43466DONLANDS STATION5,#REF!
8,2019-01-01,8:09,Tuesday,KIPLING STATION,MUESA,5,10,E,BD,0,No Operator Immediately Available,43.637222,-79.536111,Bloor Danforth,January,5-9AM,1,8,2019,43466KIPLING STATION5,#REF!
9,2019-01-01,8:18,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,43.681111,-79.337778,Bloor Danforth,January,5-9AM,1,8,2019,43466DONLANDS STATION5,#REF!
10,2019-01-01,8:18,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,43.681111,-79.337778,Bloor Danforth,January,5-9AM,1,8,2019,43466DONLANDS STATION5,#REF!
11,2019-01-01,8:19,Tuesday,KENNEDY BD STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,43.73255,-79.26361,Bloor Danforth,January,5-9AM,1,8,2019,43466KENNEDY BD STATION5,#REF!
12,2019-01-01,8:28,Tuesday,DONLANDS STATION,MUESA,5,10,W,BD,0,No Operator Immediately Available,43.681111,-79.337778,Bloor Danforth,January,5-9AM,1,8,2019,43466DONLANDS STATION5,#REF!
13,2019-01-01,8:41,Tuesday,GREENWOOD STATION,MUESA,5,10,E,BD,0,No Operator Immediately Available,43.6825,-79.330278,Bloor Danforth,January,5-9AM,1,8,2019,43466GREENWOOD STATION5,#REF!
14,2019-01-01,8:44,Tuesday,SHEPPARD WEST STATION,TUNIP,4,9,N,YU,5436,Operator Not In Position,43.749444,-79.461944,Yonge University Spadina,January,5-9AM,1,8,2019,43466SHEPPARD WEST STATION4,#REF!
15,2019-01-01,13:03,Tuesday,FINCH STATION,MUSC,4,9,S,YU,5391,Miscellaneous Speed Control,43.780556,-79.414722,Yonge University Spadina,January,12-3PM,1,13,2019,43466FINCH STATION4,#REF!
16,2019-01-01,16:02,Tuesday,DUPONT STATION,MUATC,6,10,N,YU,6081,ATC Project,43.674584,-79.40683,Yonge University Spadina,January,3-6PM,1,16,2019,43466DUPONT STATION6,#REF!
17,2019-01-01,17:21,Tuesday,GLENCAIRN STATION,EUBK,4,8,N,YU,5531,Brakes,43.708889,-79.440833,Yonge University Spadina,January,3-6PM,1,17,2019,43466GLENCAIRN STATION4,#REF!
18,2019-01-01,17:31,Tuesday,KIPLING STATION,MUSAN,4,8,E,BD,5359,Unsanitary Vehicle,43.637222,-79.536111,Bloor Danforth,January,3-6PM,1,17,2019,43466KIPLING STATION4,#REF!
